StreamName,YearGroup,Survey.Type,Section.Field,Section.Name,Section.Summ
Skagit,2018-2019,Creel,Little eddy and Big eddy,Skagit,1
Skagit,2018-2019,Creel,Marblemount Bridge Witham Boat Launch,Skagit,1
Skagit,2018-2019,Creel,Chapel hole,Skagit,1
Skagit,2018-2019,Creel,101 hole car body access hole,Skagit,1
Skagit,2018-2019,Creel,Swift/Sutter rest stop,Skagit,1
Skagit,2018-2019,Creel,Howard Miller Steelhead Park Boat Launch,Skagit,1
Skagit,2018-2019,Creel,Primitive boat ramp across from Howard Miller,Skagit,1
Skagit,2018-2019,Creel,Jackman Creek Bridge,Skagit,1
Skagit,2018-2019,Creel,Fabers North boat ramp,Skagit,1
Skagit,2018-2019,Creel,Baker River boat launch,Skagit,1
Skagit,2018-2019,Creel,Fabers South Launch,Skagit,1
Skagit,2018-2019,Creel,Big timber lock sign to Ovenells heritage inn driveway,Skagit,1
Skagit,2018-2019,Creel,Darrington mill bridge ramp,Sauk,2
Skagit,2018-2019,Creel,Bryson Road access parking area,Sauk,2
Skagit,2018-2019,Creel,Bryson Road to USFS Lower Sauk Launch HWY 530,Sauk,2
Skagit,2018-2019,Creel,USFS Lower Sauk Launch,Sauk,2
Skagit,2018-2019,Creel,Lower Sauk Launch bridge to Government bridge HWY 530,Sauk,2
Skagit,2018-2019,Creel,Gov. Bridge Launch,Sauk,2
Skagit,2018-2019,Creel,Government bridge down to Hippie Bar,Sauk,2
Skagit,2018-2019,Creel,Hippie Bar down to Wagon Trail,Sauk,2
Skagit,2018-2019,TieIn,Dalles bridge to Marblemount bridge,Skagit,1
Skagit,2018-2019,TieIn,Darrington Mill bridge to mouth,Sauk,2
