Waterbody,Start_Date,End_Date,Survey_Type,Section_Field,UpperRM,LowerRM,TotalRM,Section_Name,Section_Num
Kalama,6/10/2014,5/23/2017,Creel,KAL 1,3,0,3,Kalama_1,1
Kalama,6/10/2014,5/23/2017,Creel,KAL 2,7.6,3,4.6,Kalama_1,1
Kalama,6/10/2014,5/23/2017,Creel,KAL 3,10.4,7.6,2.8,Kalama_3,3
Kalama,5/13/2015,5/23/2017,Creel,KAL 3a,9.5,7.6,1.9,Kalama_2,2
Kalama,6/10/2014,5/23/2017,Creel,KAL 3b,10.4,9.5,0.9,Kalama_3,3
Kalama,6/10/2014,5/23/2017,Creel,KAL 4,17,10.4,6.6,Kalama_3,3
Kalama,6/10/2014,5/23/2017,Creel,KAL 5,21.1,17,4.1,Kalama_3,3
Kalama,5/13/2014,5/23/2017,TieIn,KAL TIE-IN 1,3,0,3,Kalama_1,1
Kalama,5/13/2014,5/23/2017,TieIn,KAL TIE-IN 2,7.6,3,4.6,Kalama_1,1
Kalama,5/13/2014,5/23/2017,TieIn,KAL TIE-IN 3a,9.5,7.6,1.9,Kalama_2,2
Kalama,5/13/2014,5/23/2017,TieIn,KAL TIE-IN 3b,10.4,9.5,0.9,Kalama_3,3
Kalama,5/13/2014,5/23/2017,TieIn,KAL TIE-IN 4,17,10.4,6.6,Kalama_3,3
Kalama,5/13/2014,5/23/2017,TieIn,KAL TIE-IN 5,21.1,17,4.1,Kalama_3,3
Kalama,5/13/2014,5/23/2017,Creel,Kalama - General,21.1,0,21.1,Kalama_3,3
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
